age,area,atmDistance,balconies,childrenPlayArea,clubHouse,garden,gym,hospitalDistance,joggingTrack,lift,powerBackup,price,restrauntDistance,schoolDistance,security,shoppingDistance,sportsFacility,status,swimmingPool
0,2100,0.33149071073570724,1,0,1,0,1,0.31896957631795936,0,0,0,8000000,0.3690982541018343,0.3369057926189307,0,0.31583746921300443,0,0,0
0,2100,0.2513470590753255,1,0,1,0,1,0.24733014715207646,0,0,0,8000000,0.2619273793726538,0.29774225260124654,0,0.260535458595215,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,3750000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3550000,0,0,0,0,0,0,0
0,1500,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,3800000,0,0.18453604413197966,0,0,0,0,0
0,2100,0.289074006704174,1,0,1,0,1,0.2527858244836698,0,0,0,8000000,0.2822711481826336,0.2803155746092486,0,0.28318517936955817,0,0,0
0,1800,0.37556090179190704,0,1,1,0,1,0.31863368292075167,1,0,1,11998800,0.36134643843330105,0.3873513239980392,0,0.3709838138752374,0,0,1
0,2100,0.6137641779088492,1,0,0,0,0,0.6456298691406334,0,0,0,8000000,0.6242365922516401,0.6483687216857055,0,0.6504553768207366,0,0,0
0,1500,0,1,0,0,0,0,0.1607906431381912,0,0,0,4500000,0,0.29948961571462496,0,0,0,0,0
0,2016,0.42403085920228634,2,1,1,1,1,0.4527515296080242,0,1,1,14000000,0.4550399897683093,0.4603998051012116,1,0.38400563759332307,0,0,1
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,2100,0.4608140560293315,1,0,1,0,1,0.4808802583586031,0,0,0,8000000,0.45540785607585405,0.5202390087579495,0,0.5258532880269391,0,0,0
0,1500,0.567151579475009,1,0,0,0,0,0.6988061861867605,0,0,0,4500000,0.6265659190424202,0.6201928921829365,0,0.6794586245190277,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3800000,0,0,0,0,0,0,0
0,1550,0,1,0,0,0,0,0,0,0,0,5219000,0,0,0,0,0,0,0
1,1750,0,1,0,0,0,0,0.3032395472958518,0,0,0,6000000,0,0.2816053188241932,0,0.31071152572747945,0,1,0
0,1300,0.27836013739964527,1,0,0,0,0,0.27660740057447863,0,0,0,4900000,0.2538062306357191,0.2540151590555305,0,0.27563071353684115,0,0,0
0,2100,0.6137641779088492,1,0,0,0,0,0.6456298691406334,0,0,0,8000000,0.6242365922516401,0.6483687216857055,0,0.6504553768207366,0,0,0
0,1500,0,1,0,0,0,0,0.16620083086467302,0,0,0,3800000,0,0.18453604413197966,0,0,0,0,0
0,2100,0.722318816640225,1,0,0,0,0,0.6759544249247429,0,0,0,8000000,0.728412236051722,0.7159551477696197,0,0.7545290675979964,0,0,0
0,1250,0,1,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0
0,1500,0.3640465249008363,1,0,0,0,0,0.3472023594142268,0,0,0,4250000,0.44319448408150186,0.2862639082291448,0,0.24613026148307537,0,0,0
0,2100,0.33149071073570724,1,0,1,0,1,0.31896957631795936,0,0,0,8000000,0.3690982541018343,0.3369057926189307,0,0.31583746921300443,0,0,0
0,1850,0.3257850884517058,0,0,0,0,0,0.29156558652642894,0,0,0,5000000,0.32379678344030965,0.29298949290082316,0,0.3073364084635751,0,1,0
0,1500,0.3401266228668201,1,0,0,0,0,0.5564459135698088,0,0,0,3550000,0.5961465620725113,0.23923282782932456,0,0.38977896864144623,0,0,0
5,2500,0,0,0,0,0,0,0.4517976052557718,0,0,0,5500000,0,0.3464820539641059,0,0.7111156939855209,0,1,0
0,1500,0,1,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0
0,2100,0.33422882457732356,1,0,1,0,1,0.36468604109422487,0,0,0,8000000,0.3131970877850164,0.362592057557795,0,0.37252065939491136,0,0,0
0,1650,0,1,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0
0,1500,0,1,0,0,0,0,0,0,0,0,3130000,0,0,0,0,0,0,0
0,1000,0,0,0,0,0,0,0,0,0,0,3100000,0,0,0,0,0,0,0
