age,amneties,area,atmDistance,balconies,bathrooms,hospitalDistance,price,restrauntDistance,schoolDistance,shoppingDistance,status
0,0,1250,0,1,3,0,4050000,0,0,0,2
1,0,1200,0.33422882457732356,0,1,0.36468604109422487,5500000,0.3131970877850164,0.362592057557795,0.37252065939491136,3
0,2,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,2100,0.2523898736021136,1,3,0.24554359079892435,8000000,0.2863051246376919,0.26069813673734177,0.2204652346147583,2
0,5,1386,0.5627263843474477,3,3,0.5353745987397386,8325000,0.5665732847691308,0.5288696511974664,0.5436511219461293,2
0,0,2100,0.722318816640225,0,3,0.6759544249247429,7600000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,1550,0,1,3,0,5219000,0,0,0,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,3100,0,2,4,0,8000000,0,0,0,2
0,0,1500,0,1,3,0,3130000,0,0,0,2
0,0,1500,0,2,3,0,3550000,0,0,0,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,0,5880,1.0881943475514297,0,0,0.9097656036660635,25000000,0.9856733073247274,1.1096618386365755,1.033816397056108,1
0,0,1250,0.30392291554714623,1,3,0.3195185093725223,3750000,0.3118178413001956,0.27968833138591914,0.28513073239615905,2
0,0,2100,0.33149071073570724,0,3,0.31896957631795936,7600000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
6,0,1157,0.5595624079975564,1,2,0.5404127055376164,4627500,0.5527687918403097,0.5548192620376499,0.5438410868633898,3
0,0,3100,0,2,4,0,8000000,0,0,0,2
0,0,1250,0,1,3,0,4050000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
2,0,1750,0.4608140560293315,0,4,0.4808802583586031,12700000,0.45540785607585405,0.5202390087579495,0.5258532880269391,3
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,0,1250,0,1,3,0,3300000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,1250,0,1,3,0,3750000,0,0,0,2
0,0,2100,0.33149071073570724,1,3,0.31896957631795936,8500000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1500,0,1,3,0,4250000,0,0,0,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,4750000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,1250,0,0,3,0,4000000,0,0,0,2
4,9,3966,0.6582346322761033,0,5,0.6611454828845664,30000000,0.6756150097562874,0.6791140822285123,0.6197022791557508,3
0,10,3530,0.5500740043082517,0,3,0.5875875288131627,28200000,0.5558949359780537,0.5770507747236738,0.6603164656007737,2
0,0,1500,0,1,3,0,4500000,0,0,0,2
0,2,2100,0.3087070681297314,1,3,0.29280323169719813,8000000,0.27863636506109646,0.29181807875647964,0.32989431373918376,2
0,0,1650,0,0,3,0,5000000,0,0,0,2
0,0,2100,0.33149071073570724,0,1,0.31896957631795936,8500000,0.3690982541018343,0.3369057926189307,0.31583746921300443,2
0,0,1500,0.8782551743169534,1,3,0.23284148114223718,3950000,0.5151961519359208,0.3163184023281781,0.4973647713029686,2
0,2,2100,0.722318816640225,1,3,0.6759544249247429,8000000,0.728412236051722,0.7159551477696197,0.7545290675979964,2
0,0,2000,0.4734433478778699,1,4,0.37554506549306615,5500000,0.4279052159191697,0.332879457375891,0.46022518434401094,2
0,0,1000,0,1,3,0.16620083086467302,3300000,0,0.18453604413197966,0,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,2000,0.6137641779088492,1,3,0.6456298691406334,7000000,0.6242365922516401,0.6483687216857055,0.6504553768207366,2
0,0,1500,0,1,3,0,3550000,0,0,0,2
0,0,2500,0,1,4,0,7344000,0,0,0,2
0,0,2175,0.49598778490967177,0,0,0.5067331929434841,3000000,0.4336463252999159,0.4665678451696927,0.3967204336309912,1
0,0,1500,0.2523898736021136,1,3,0.24554359079892435,4500000,0.2863051246376919,0.26069813673734177,0.2204652346147583,2
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,3710,0.2996109584833156,0,0,0.3119734034801127,4900000,0.3177899632887862,0.3574989275705123,0.34059337719952465,1
0,0,1500,0.24662528620527316,1,3,0.28113318706568236,3950000,0.24780725211877994,0.23624613542374162,0.23033583516674946,2
0,3,5227,0.41305766914503983,0,0,0.44552336905391793,4440000,0.3725100864546315,0.45457981149878085,0.4719713832015652,1
0,0,1500,0.3401266228668201,1,3,0.5564459135698088,3550000,0.5961465620725113,0.23923282782932456,0.38977896864144623,2
0,0,2500,0,1,4,0,7344000,0,0,0,3
